tipo_inst;cod_inst;cota_fundo
medidor de nivel de agua;nvl_agua_01;925,762
medidor de nivel de agua;nvl_agua_02;918,023
medidor de nivel de agua;nvl_agua_03;938,437
medidor de nivel de agua;nvl_agua_04;926,793
medidor de nivel de agua;nvl_agua_05;918,652
medidor de nivel de agua;nvl_agua_06;936,405
medidor de nivel de agua;nvl_agua_07;908,745
medidor de nivel de agua;nvl_agua_08;910,13
medidor de nivel de agua;nvl_agua_09;920,34
medidor de nivel de agua;nvl_agua_10;921,25
medidor de nivel de agua;nvl_agua_11;917,13
medidor de nivel de agua;nvl_agua_12;936,15
piezometro;piez_01;935,038
piezometro;piez_02;912,88
piezometro;piez_05;931,236
piezometro;piez_06;926,355
piezometro;piez_07;914,774
piezometro;piez_08;902,856
piezometro;piez_09;933,268
piezometro;piez_10;930,584
piezometro;piez_11;910,861
piezometro;piez_12;931,328
piezometro;piez_13;946,958
piezometro;piez_14;914,031
piezometro;piez_15;941,517
piezometro;piez_16;964,335
piezometro;piez_18;962,074
piezometro;piez_19;958,504
piezometro;piez_20;962,062
piezometro;piez_21;914,936
piezometro;piez_22;908,07
piezometro;piez_23;912,777
piezometro;piez_24;928,897
piezometro;piez_25;917,748
piezometro;piez_26;907,936
piezometro;piez_27;928,775
piezometro;piez_28;917,267
piezometro;piez_29;913,274
piezometro;piez_30;919,232
piezometro;piez_31;926,93
piezometro;piez_32;934,321
piezometro;piez_33;913,546
piezometro;piez_34;915,12
piezometro;piez_35;903,89
piezometro;piez_36;919,91
piezometro;piez_37;915,87
piezometro;piez_38;924,84
piezometro;piez_39;919,95
piezometro;piez_40;915,61
piezometro;piez_41;913,11
