num_os;cod_inst;tipo_inst;situacao;condicao;data_med;valor;unidade
419;vazao_01;medidor de vazao;Realizada;;02/02/2009 10:00;0,46522;LPS
419;vazao_02;medidor de vazao;Realizada;;02/02/2009 10:00;3,44789;LPS
419;vazao_03;medidor de vazao;Realizada;;02/02/2009 10:00;1,37335;LPS
457;vazao_01;medidor de vazao;Realizada;;02/07/2008 09:00;1,26667;LPS
457;vazao_02;medidor de vazao;Realizada;;02/07/2008 09:00;0,46389;LPS
457;vazao_03;medidor de vazao;Realizada;;02/07/2008 09:00;3,44722;LPS
457;regua;regua do reservatorio;Realizada;;02/07/2008 09:00;966,68;m
457;piez_01;piezometro;Realizada;SECO;30/07/2008 09:00;;
457;piez_05;piezometro;Realizada;;30/07/2008 09:00;939,116;m
457;piez_06;piezometro;Realizada;SECO;30/07/2008 09:00;;
457;piez_07;piezometro;Realizada;;30/07/2008 09:00;927,624;m
457;piez_09;piezometro;Realizada;SECO;30/07/2008 09:00;;
457;piez_10;piezometro;Realizada;SECO;30/07/2008 09:00;;
457;piez_11;piezometro;Realizada;;30/07/2008 09:00;919,691;m
457;piez_12;piezometro;Realizada;SECO;30/07/2008 09:00;;
457;piez_13;piezometro;Realizada;SECO;30/07/2008 09:00;;
457;piez_14;piezometro;Realizada;;30/07/2008 09:00;924,411;m
457;piez_15;piezometro;Realizada;SECO;30/07/2008 09:00;;
457;piez_16;piezometro;Realizada;SECO;30/07/2008 09:00;;
457;piez_18;piezometro;Realizada;SECO;30/07/2008 09:00;;
457;piez_20;piezometro;Realizada;;30/07/2008 09:00;967,37200;m
1192;piez_01;piezometro;Realizada;SECO;27/04/2009 10:00;;
1192;piez_02;piezometro;Realizada;;27/04/2009 10:00;928,58;m
1192;piez_03;piezometro;Não Realizada;;27/04/2009 10:00;;
1192;piez_04;piezometro;Não Realizada;;27/04/2009 10:00;;
1192;piez_05;piezometro;Realizada;;27/04/2009 10:00;939,766;m
1192;piez_06;piezometro;Realizada;SECO;27/04/2009 10:00;;
1192;piez_07;piezometro;Realizada;;27/04/2009 10:00;963,374;m
1192;piez_08;piezometro;Realizada;;27/04/2009 10:00;919,856;m
1192;piez_09;piezometro;Realizada;SECO;27/04/2009 10:00;;
1192;piez_10;piezometro;Realizada;SECO;27/04/2009 10:00;;
1192;piez_11;piezometro;Realizada;;27/04/2009 10:00;920,131;m
1192;piez_12;piezometro;Realizada;SECO;27/04/2009 10:00;;
1192;piez_13;piezometro;Realizada;SECO;27/04/2009 10:00;;
1192;piez_14;piezometro;Realizada;;27/04/2009 10:00;925,131;m
1192;piez_15;piezometro;Realizada;SECO;27/04/2009 10:00;;
1192;piez_16;piezometro;Realizada;SECO;27/04/2009 10:00;;
1192;piez_17;piezometro;Não Realizada;;27/04/2009 10:00;;
1192;piez_19;piezometro;Realizada;;27/04/2009 10:00;968,934;m
1192;piez_20;piezometro;Realizada;;27/04/2009 10:00;968,572;m
4708;piez_01;piezometro;Não Realizada;;10/02/2005 07:40;;
4708;piez_02;piezometro;Realizada;;10/02/2005 07:40;911,91000;m
4708;piez_05;piezometro;Realizada;;10/02/2005 07:40;937,946;m
4708;piez_06;piezometro;Não Realizada;;10/02/2005 07:40;;
4708;piez_07;piezometro;Não Realizada;;10/02/2005 07:40;;
4708;piez_08;piezometro;Realizada;;10/02/2005 07:40;919,236;m
4708;piez_09;piezometro;Realizada;;10/02/2005 08:01;968,138;m
4708;piez_10;piezometro;Não Realizada;;10/02/2005 08:01;;
4708;piez_11;piezometro;Não Realizada;;10/02/2005 08:01;;
4708;piez_12;piezometro;Não Realizada;;10/02/2005 08:01;;
4708;piez_13;piezometro;Não Realizada;;10/02/2005 08:01;;
4708;piez_14;piezometro;Realizada;;10/02/2005 08:01;924,111;m
4708;piez_15;piezometro;Não Realizada;;10/02/2005 08:01;;
4708;piez_16;piezometro;Realizada;;10/02/2005 08:50;955,305;m
4708;piez_19;piezometro;Realizada;;10/02/2005 08:50;961,894;m
4708;piez_20;piezometro;Realizada;;10/02/2005 08:50;963,532;m
4708;regua;regua do reservatorio;Realizada;;10/02/2005 09:00;961,18;m
4709;piez_01;piezometro;Não Realizada;;10/03/2005 07:40;;
4709;piez_02;piezometro;Realizada;;10/03/2005 07:40;915,67000;m
4709;piez_05;piezometro;Realizada;;10/03/2005 07:40;937,986;m
4709;piez_06;piezometro;Não Realizada;;10/03/2005 07:40;;
4709;piez_07;piezometro;Realizada;;10/03/2005 07:40;923,624;m
4709;piez_09;piezometro;Não Realizada;;10/03/2005 08:01;;
4709;piez_10;piezometro;Não Realizada;;10/03/2005 08:01;;
4709;piez_12;piezometro;Realizada;;10/03/2005 08:01;934,178;m
4709;piez_13;piezometro;Não Realizada;;10/03/2005 08:01;;
4709;piez_14;piezometro;Realizada;;10/03/2005 08:01;924,151;m
4709;piez_15;piezometro;Não Realizada;;10/03/2005 08:01;;
4709;piez_16;piezometro;Realizada;;10/03/2005 08:50;955,19500;m
4709;piez_19;piezometro;Realizada;;10/03/2005 08:50;961,954;m
4709;piez_20;piezometro;Realizada;;10/03/2005 08:50;963,662;m
4709;piez_11;piezometro;Realizada;;10/03/2005 09:00;920,281;m
4709;regua;regua do reservatorio;Realizada;;10/03/2005 09:00;962,97;m
4710;piez_01;piezometro;Não Realizada;;11/04/2005 07:40;;
4710;piez_02;piezometro;Realizada;;11/04/2005 07:40;916,07;m
4710;piez_05;piezometro;Realizada;;11/04/2005 07:40;938,036;m
